Name,Size at Posting,Created,Type,Total_Engagement,Likes,Comments,Views,URL,Link,picture,Description
teamusa,712747,6/28/2017 18:18,photo,5735,5734,1,0,https://www.instagram.com/p/BV5lXBoF2uv/,https://www.instagram.com/p/BV5lXBoF2uv/,https://scontent.cdninstagram.com/t51.2885-15/e35/c257.0.566.566/19533613_289939431470823_3472469964915474432_n.jpg,Day TWO of #SCS2017 presented by @Comcast is underway in Indy! ????
teamusa,712760,6/27/2017 19:33,photo,9948,9916,32,0,https://www.instagram.com/p/BV3JFYnF4uQ/,https://www.instagram.com/p/BV3JFYnF4uQ/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c108.0.863.863/19436354_433388400381805_3646410209053638656_n.jpg,@nathangadrian FTW in the men's 100m free with a time of 47.96! ?? #SCS2017 #phillips66nats
teamusa,712760,6/27/2017 19:11,video,7608,7595,13,24204,https://www.instagram.com/p/BV3GqO9FSkT/,https://www.instagram.com/p/BV3GqO9FSkT/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/19428642_818007618377268_373048970861084672_n.jpg,Diving into finals on the first day of #SCS2017 presented by @Comcast! ????Watch live on NBCSN.
teamusa,712760,6/27/2017 15:26,photo,7506,7501,5,0,https://www.instagram.com/p/BV2sz3FFcrV/,https://www.instagram.com/p/BV2sz3FFcrV/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c170.0.739.739/19428853_112670329351442_1216771265818263552_n.jpg,Day 1?? of #SCS2017 presented by @Comcast is underway in Indy with @usaswimming! ????? LIVE on NBCSN at 7:00 p.m. ET
teamusa,712760,6/27/2017 14:23,photo,4287,4282,5,0,https://www.instagram.com/p/BV2lqoKlG2O/,https://www.instagram.com/p/BV2lqoKlG2O/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19534326_798958793619085_5958500720645767168_n.jpg,The @broncos rookies ringing in their annual retreat to the Colorado Springs Olympic Training Center in Olympic fashion. ??: @broncos
teamusa,712760,6/27/2017 13:57,video,3541,3539,2,12235,https://www.instagram.com/p/BV2ioAeFStH/,https://www.instagram.com/p/BV2ioAeFStH/,https://scontent.cdninstagram.com/t51.2885-15/e15/c140.0.360.360/19429241_1925836507694888_1659112936930541568_n.jpg,Thank you to @la2024 for leading hundreds of thousands of people nationwide in celebrating the spirit of the Games for #OlympicDay! ??
teamusa,712760,6/27/2017 12:48,video,1072,1070,2,3790,https://www.instagram.com/p/BV2awmsFSOO/,https://www.instagram.com/p/BV2awmsFSOO/,https://scontent.cdninstagram.com/t51.2885-15/e15/19429092_1234636986664519_2437952818804424704_n.jpg,"#Repost @la2024 (@get_repost)
???
#LA2024 led hundreds of thousands of people nationwide in celebrating the spirit of the Games for #OlympicDay! ??"
teamusa,712656,6/26/2017 20:16,photo,6467,6458,9,0,https://www.instagram.com/p/BV0pRH-FgGj/,https://www.instagram.com/p/BV0pRH-FgGj/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19533690_292172254525159_6451819775206096896_n.jpg,"Olympians and future Olympians all over the globe celebrated #OlympicDay over the weekend! Including @connorfields11 and these future ??s in Henderson, Nevada! How did you celebrate Olympic Day?"
teamusa,712656,6/26/2017 13:15,photo,5481,5473,8,0,https://www.instagram.com/p/BVz5HY6FBqT/,https://www.instagram.com/p/BVz5HY6FBqT/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19425108_114833725796737_117595968341278720_n.jpg,"LAST CHANCE to sign up and win your FREE #TeamUSA yoga mat! ??
(Link in bio)"
teamusa,712656,6/26/2017 8:49,photo,6795,6786,9,0,https://www.instagram.com/p/BVzap7cFzCB/,https://www.instagram.com/p/BVzap7cFzCB/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19437026_1479953178728283_7379899226471268352_n.jpg,#USATFOutdoors was everything we needed to get through this Monday. #MondayMotivation What was your favorite moment from #SCS2017?
teamusa,712646,6/25/2017 22:09,photo,7355,7351,4,0,https://www.instagram.com/p/BVyRXGEFO-x/,https://www.instagram.com/p/BVyRXGEFO-x/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c121.0.749.749/19428834_443324382693348_3845891172002168832_n.jpg,That's a wrap from Sacramento at the #SCS2017 presented by @comcast. Next stop: Indy with @usaswimming on Tuesday! Stay tuned. ??
teamusa,712646,6/25/2017 18:24,photo,8948,8942,6,0,https://www.instagram.com/p/BVx3mijFvFZ/,https://www.instagram.com/p/BVx3mijFvFZ/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19429584_661321154078061_1653242262097756160_n.jpg,"The TOP THREE finishers in the men's 110m hurdles at #SCS2017: @aleec_cymone_harris, @amhurdlestar & @devonallen13! ??????"
