Name,Size at Posting,Created,Type,Likes,Retweets,total,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2
U.S. Olympic Team,1865911,2017-07-01 10:09:45 EDT,link,81,14,95,https://twitter.com/TeamUSA/status/881152852466556928,It’s been a dream-filled two years for @Katie_Meili. ?? ?? Up next: #FINABudapest2017! ?? ? http://go.teamusa.org/2ttPiJ7 https://t.co/68IXRgA8tk,TeamUSA,https://t.co/68IXRgA8tk,https://twitter.com/TeamUSA/status/881152852466556928/photo/1,http://go.teamusa.org/2ttPiJ7,http://www.teamusa.org/News/2017/June/30/On-Top-Of-The-World-After-Big-Olympic-Debut-Katie-Meili-Qualifies-For-First-World-Team
U.S. Olympic Team,1865911,2017-07-01 10:00:05 EDT,photo,61,20,81,https://twitter.com/TeamUSA/status/881150419744899072,"Ready, Set, RACE! Today marks the start of #TDF2017! #GoTeamUSA! ???????????? https://t.co/y4Kmi6bwki",TeamUSA,https://t.co/y4Kmi6bwki,https://t.co/y4Kmi6bwki,,
U.S. Olympic Team,1865911,2017-07-01 09:13:05 EDT,native_video,906,298,1204,https://twitter.com/TeamUSA/status/881138592055083008,"Happy birthday to the legendary 9-time Olympic gold medalist, @Carl_Lewis! ?? ?? https://t.co/kXUw1BZenL",TeamUSA,https://t.co/kXUw1BZenL,https://twitter.com/TeamUSA/status/881138592055083008/video/1,,
U.S. Olympic Team,1865911,2017-06-30 20:43:30 EDT,link,112,22,134,https://twitter.com/TeamUSA/status/880949950414278656,"The king of backstroke, @MattGrevers, is making his way back to the throne! ??????? ?? http://go.teamusa.org/2ta7nZM https://t.co/wsowb1AwpY",TeamUSA,http://go.teamusa.org/2ta7nZM,http://www.teamusa.org/News/2017/June/30/2012-Olympic-Champ-Matt-Grevers-Is-Back-On-Top-In-100-Back-After-Missing-2016-Olympic-Team,https://t.co/wsowb1AwpY,https://twitter.com/TeamUSA/status/880949950414278656/photo/1
U.S. Olympic Team,1865911,2017-06-30 20:29:33 EDT,link,112,20,132,https://twitter.com/TeamUSA/status/880946441581187072,Records broken and new accomplishments for @KathleenBaker2 at tonight’s #SCS2017! ???? ?? ? http://go.teamusa.org/2tu6JsZ https://t.co/1uZkIr3gS8,TeamUSA,http://go.teamusa.org/2tu6JsZ,http://www.teamusa.org/News/2017/June/30/Kathleen-Baker-Breaks-Missy-Franklins-100Meter-Backstroke-US-Open-Record,https://t.co/1uZkIr3gS8,https://twitter.com/TeamUSA/status/880946441581187072/photo/1
U.S. Olympic Team,1865911,2017-06-30 19:57:08 EDT,photo,89,23,112,https://twitter.com/TeamUSA/status/880938285044027392,That's a wrap! @MattGrevers closes the night with ?? in the men’s 100m backstroke! ??????? #SCS2017 #Phillips66Nats https://t.co/EQuJWVfueU,TeamUSA,https://t.co/EQuJWVfueU,https://twitter.com/TeamUSA/status/880938285044027392/photo/1,,
U.S. Olympic Team,1865911,2017-06-30 19:39:54 EDT,photo,112,28,140,https://twitter.com/TeamUSA/status/880933945474502656,Congrats to @KathleenBaker2 for WINNING the women’s 100m backstroke! #SCS2017 ????????? https://t.co/IrWSg5Cami,TeamUSA,https://t.co/IrWSg5Cami,https://twitter.com/TeamUSA/status/880933945474502656/photo/1,,
U.S. Olympic Team,1865911,2017-06-30 19:35:29 EDT,link,164,31,195,https://twitter.com/TeamUSA/status/880932833233174529,"On top of the world after big Olympic debut, @Katie_Meili qualifies for first world team! ?????? ? http://go.teamusa.org/2ttPiJ7 https://t.co/YzvjepI2YK",TeamUSA,http://go.teamusa.org/2ttPiJ7,http://www.teamusa.org/News/2017/June/30/On-Top-Of-The-World-After-Big-Olympic-Debut-Katie-Meili-Qualifies-For-First-World-Team,https://t.co/YzvjepI2YK,https://twitter.com/TeamUSA/status/880932833233174529/photo/1
U.S. Olympic Team,1865911,2017-06-30 19:24:21 EDT,photo,87,18,105,https://twitter.com/TeamUSA/status/880930032297930753,"First place in the men’s 100m breaststroke goes to @KwCordes, who set a new American record of 58.74! ???????? #SCS2017 https://t.co/fTrJGeGIJh",TeamUSA,https://t.co/fTrJGeGIJh,https://t.co/fTrJGeGIJh,,
U.S. Olympic Team,1865911,2017-06-30 19:14:26 EDT,link,47,10,57,https://twitter.com/TeamUSA/status/880927538775719938,So are we!! ?????????? #GoKatie #GoTeamUSA #SCS2017 https://twitter.com/AuntKim328/status/880924626712502276,TeamUSA,https://twitter.com/AuntKim328/status/880924626712502276,https://twitter.com/AuntKim328/status/880924626712502276,,
